id,lon,lat
0,-1.146988,44.656649
1,-1.193047,44.658496
2,-1.146988,44.656649
3,-1.146988,44.656649
4,-1.146988,44.656649
5,-1.146988,44.656649
6,-1.165259,44.659664
7,-1.165259,44.659664
8,-1.165259,44.659664
9,-1.165259,44.659664
10,-1.165259,44.659664
11,-1.193047,44.658496
12,-1.193047,44.658496
13,-1.193047,44.658496
14,-1.201663,44.641716
15,-1.201663,44.641716
16,-1.201663,44.641716
17,-1.201663,44.641716
18,-1.201663,44.641716
19,-1.193047,44.658496
20,2.255774,48.905086
21,2.255774,48.905086
22,2.255774,48.905086
23,2.255774,48.905086
24,2.255774,48.905086
25,2.257169,48.913486
26,2.255774,48.905086
27,2.257169,48.913486
28,2.257169,48.913486
29,2.239232,48.903313
30,2.255774,48.905086
31,2.239232,48.903313
32,2.239232,48.903313
33,2.239232,48.903313
34,2.239232,48.903313
35,2.239232,48.903313
36,2.231137,48.903906
37,2.231137,48.903906
38,2.231137,48.903906
39,2.231137,48.903906
40,2.231137,48.903906
41,2.257169,48.913486
42,2.257169,48.913486
43,2.249567,48.906326
44,2.237217,48.908458
45,2.249567,48.906326
46,2.237217,48.908458
47,2.249567,48.906326
48,2.249567,48.906326
49,2.249567,48.906326
50,2.249567,48.906326
51,2.237217,48.908458
52,2.237217,48.908458
53,2.237217,48.908458
54,2.237217,48.908458
55,2.231137,48.903906
56,2.365344,48.732587
57,2.365344,48.732587
58,2.365344,48.732587
59,2.365344,48.732587
60,4.888315,44.966278
61,4.888315,44.966278
62,4.888315,44.966278
63,4.888315,44.966278
64,6.439919,48.600135
65,6.5098,48.4952
66,6.550392,48.463424
67,6.439919,48.600135
68,6.815633,48.480022
69,6.50647,48.584835
70,6.622318,48.578039
71,6.622318,48.578039
72,6.673311,48.569703
73,6.673311,48.569703
74,6.604733,48.539439
75,6.604733,48.539439
76,6.461325,48.533034
77,6.461325,48.533034
78,6.529611,48.574109
79,6.529611,48.574109
80,6.774703,48.480564
81,6.774703,48.480564
82,6.815633,48.480022
83,6.499564,48.567491
84,6.813043,48.466942
85,6.813043,48.466942
86,6.79138,48.419586
87,6.79138,48.419586
88,6.4859,48.6548
89,6.550392,48.463424
90,6.632634,48.519024
91,6.632634,48.519024
92,6.541528,48.529466
93,6.541528,48.529466
94,6.650546,48.58364
95,6.650546,48.58364
96,6.499564,48.567491
97,6.5098,48.4952
98,6.529493,48.596794
99,6.4859,48.6548
100,6.489047,48.598501
101,6.503267,48.59336
102,6.503267,48.59336
103,6.489549,48.591508
104,6.489549,48.591508
105,6.495991,48.592458
106,6.495991,48.592458
107,6.489047,48.598501
108,6.3871,48.5571
109,6.497805,48.588446
110,6.497805,48.588446
111,6.468064,48.562346
112,6.468064,48.562346
113,6.188514,48.684557
114,6.188514,48.684557
115,6.500003,48.591825
116,6.500003,48.591825
117,6.694515,48.487852
118,6.694515,48.487852
119,6.739727,48.443202
120,6.739727,48.443202
121,6.607995,48.531142
122,6.607995,48.531142
123,6.739262,48.447748
124,6.8437,48.5895
125,6.8437,48.5895
126,6.4086,48.5553
127,6.4086,48.5553
128,6.946,48.5813
129,6.946,48.5813
130,6.3871,48.5571
131,6.451822,48.500395
132,6.50647,48.584835
133,6.691154,48.473567
134,6.451822,48.500395
135,6.113954,48.937585
136,6.145511,48.779856
137,5.908144,48.545392
138,5.908144,48.545392
139,5.871263,48.651079
140,5.871263,48.651079
141,6.113954,48.937585
142,6.113954,48.937585
143,6.732776,48.481303
144,6.113954,48.937585
145,5.891198,49.366949
146,5.891198,49.366949
147,5.897909,48.528022
148,5.897909,48.528022
149,6.651412,48.611865
150,6.145511,48.779856
151,6.322902,48.468331
152,6.322902,48.468331
153,6.322902,48.468331
154,6.322902,48.468331
155,6.167017,48.735001
156,6.167017,48.735001
157,6.500923,48.603982
158,6.500923,48.603982
159,6.601472,48.589796
160,6.601472,48.589796
161,6.235897,48.651288
162,6.235897,48.651288
163,6.186692,48.669613
164,6.186692,48.669613
165,6.132647,48.771853
166,6.132647,48.771853
167,6.651412,48.611865
168,6.732776,48.481303
169,6.50141,48.499449
170,6.655137,48.497517
171,6.749424,48.497579
172,6.792528,48.429512
173,6.792528,48.429512
174,6.810074,48.412013
175,6.810074,48.412013
176,6.655137,48.497517
177,6.66004,48.45428
178,6.691154,48.473567
179,6.66004,48.45428
180,6.566207,48.444874
181,6.566207,48.444874
182,6.569545,48.483286
183,6.569545,48.483286
184,6.50141,48.499449
185,6.749424,48.497579
186,6.766798,48.509037
187,6.766798,48.509037
188,6.753659,48.515558
189,6.753659,48.515558
190,6.729624,48.517423
191,6.729624,48.517423
192,6.529493,48.596794
193,6.62415,48.506082
194,6.62415,48.506082
195,6.741191,48.528566
196,6.741191,48.528566
197,6.735212,48.444032
198,6.735212,48.444032
199,6.44907,48.52959
200,6.44907,48.52959
201,6.188514,48.684557
202,6.188514,48.684557
203,6.175381,48.689914
