,ope,consolidated_longitude,prix_kWh
243,Izivia,6.177347,
244,Izivia,6.177347,
245,Izivia,6.177347,
246,Izivia,6.177347,
247,Izivia,6.175165,
248,Izivia,6.175165,
249,Izivia,6.175165,
250,Izivia,6.183827,
251,Izivia,6.133857,
252,Izivia,6.175165,
253,Izivia,6.068884,
254,Izivia,6.175381,
255,Izivia,6.175381,
256,Izivia,6.145994,
257,Izivia,6.145994,
258,Izivia,6.145994,
259,Izivia,6.145994,
260,Izivia,6.16177,
261,Izivia,6.16177,
262,Izivia,6.185137,
263,Izivia,6.185137,
264,Izivia,6.185137,
265,Izivia,6.185137,
266,Izivia,6.099536,
267,Izivia,6.099536,
268,Izivia,6.052047,
269,Izivia,6.092196,
270,Izivia,6.092196,
271,Izivia,6.252347,
272,Izivia,6.252347,
273,Izivia,6.194121,
274,Izivia,6.194121,
275,Izivia,6.17863,
276,Izivia,6.175381,
277,Izivia,6.17863,
278,Izivia,5.905749,
279,Izivia,5.741943,
280,Izivia,5.902419,
281,Izivia,5.902419,
282,Izivia,5.930792,
283,Izivia,5.930792,
284,Izivia,5.905749,
285,Izivia,5.77921,
286,Izivia,5.804458,
287,Izivia,5.834023,
288,Izivia,5.834023,
289,Izivia,5.930843,
290,Izivia,5.930843,
291,Izivia,6.052047,
292,Izivia,5.741943,
293,Izivia,5.804458,
294,Izivia,5.75571,
295,Izivia,5.75571,
296,Izivia,5.900021,
297,Izivia,5.900021,
298,Izivia,5.77921,
299,Izivia,-0.925464,0.3828
300,Izivia,-0.925464,0.3828
301,Izivia,-0.752427,0.4451162790697675
302,Izivia,-0.752427,0.3828
303,Izivia,-0.752427,0.3828
304,Izivia,-0.272705,0.4451162790697675
305,Izivia,-0.925464,0.4451162790697675
306,Izivia,-1.050769,0.4451162790697675
307,Izivia,-1.351954,0.4451162790697675
308,Izivia,-1.351954,0.3828
309,Izivia,-1.351954,0.3828
310,Izivia,-0.568038,0.3828
311,Izivia,-0.568038,0.3828
312,Izivia,-1.060593,0.4451162790697675
313,Izivia,-1.060593,0.3828
314,Izivia,-1.060593,0.3828
315,Izivia,-1.392039,0.4451162790697675
316,Izivia,-1.392039,0.3828
317,Izivia,-1.392039,0.3828
318,Izivia,-0.272705,0.3828
319,Izivia,-0.272705,0.3828
320,Izivia,-1.094403,0.4451162790697675
321,Izivia,-0.663373,0.27
322,Izivia,-0.569505,0.3828
323,Izivia,-1.029349,0.3828
324,Izivia,-0.892793,0.4451162790697675
325,Izivia,-1.064226,0.3828
326,Izivia,-0.892793,0.3828
327,Izivia,-0.892793,0.3828
328,Izivia,-0.569505,0.4451162790697675
329,Izivia,-0.569505,0.3828
330,Izivia,-1.029349,0.4451162790697675
331,Izivia,-1.367359,0.4451162790697675
332,Izivia,-1.367359,0.3828
333,Izivia,-1.367359,0.3828
334,Izivia,-1.064226,0.4451162790697675
335,Izivia,-1.064226,0.3828
336,Izivia,-1.050769,0.3828
337,Izivia,-1.029349,0.3828
338,Izivia,-1.094403,0.3828
339,Izivia,-0.548559,0.4451162790697675
340,Izivia,-1.116179,0.3828
341,Izivia,-0.548559,0.3828
342,Izivia,-0.548559,0.3828
343,Izivia,-1.276077,0.4451162790697675
344,Izivia,-1.276077,0.3828
345,Izivia,-1.276077,0.3828
346,Izivia,-1.116179,0.4451162790697675
347,Izivia,-1.116179,0.3828
348,Izivia,-1.094403,0.3828
