id_pompe,latitude,longitude,cp,autoroute,adresse,ville,automate-24-24
91460011,48.6390,2.2073,91460,True,Rue du Fond des près,Marcoussis,False
91460013,48.6480,2.1890,91460,True,VOIE EXP F6 LIEUDIT BEAUVERT,Marcoussis,False
91460014,48.6380,2.2020,91460,True,F6 VOIE EXPRESS FONDS PRES,Marcoussis,False
91470005,48.6466,2.0689,91470,False,20 Rue de Chartres,LIMOURS,False
91470007,48.6417,2.0651,91470,False,20 RUE DE CHARTRES,LIMOURS,False
91480001,48.6780,2.5290,91480,False,61 Rue de Brunoy,QUINCY-SOUS-SéNART,True
91490002,2.4680,48.4074,91490,False,AV DE GANAY,MILLY-LA-FORêT,False
91490003,48.3932,2.4661,91490,False,Grande Rue,Oncy-sur-École,False
91490004,48.3990,2.4370,91490,False,ZA LE CHENET,Milly-la-Forêt,True
91490005,48.4074,2.4680,91490,False,AV DE GANAY - RN 148,Milly-la-Forêt,False
91510002,48.5310,2.2940,91510,False,10 Rue jacques Cartier,Lardy,False
91520001,48.5820,2.2310,91520,False,22 Avenue d'Arpajon,ÉGLY,False
91540001,48.5661,2.4424,91540,False,Route nationale 191,Mennecy,False
91540003,48.5650,2.4470,91540,False,17 rue Faraday,MENNECY,True
91540004,48.5664,2.4507,91540,False,Rue Jean Cocteau,Mennecy,False
91540005,48.5660,2.4420,91540,False,"N191, Boulevard Charles de Gaulle",Mennecy,False
91550001,48.7118,2.3710,91550,False,71 Avenue de Fontainebleau,PARAY-VIEILLE-POSTE,False
91570001,48.7460,2.1950,91570,False,PLAINE DE FAVREUSE,Bièvres,False
91570003,48.7479,2.1971,91570,True,ROUTE NATIONALE 118,Bièvres,False
91570004,48.7464,2.1967,91570,False,RN118,Bièvres,True
91580001,48.4860,2.1900,91580,False,8 avenue d'Orléans,ETRéCHY,True
91590001,48.4850,2.3450,91590,False,26 rue Eugène Millet,LA FERTé-ALAIS,True
91590008,2.3744,48.5070,91590,False,route de corbeil,Baulne,False
91590009,48.5070,2.3744,91590,False,RN191 - ROUTE DE CORBEIL,BAULNE,False
91600001,48.6799,2.3421,91600,False,35 Rue Henri Dunant,Savigny-sur-Orge,False
91600003,48.6785,2.3405,91600,False,14 Rue Henri Dunant,Savigny-sur-Orge,False
91600005,48.6799,2.3421,91600,False,35/37 RUE HENRI DUNANT,Savigny-sur-Orge,False
91610001,48.5310,2.3880,91610,False,Z.A.C. de l'Aunaye,Ballancourt-sur-Essonne,False
91620001,48.6700,2.2770,91620,False,5 RUE DE LA CROIX SAINT JACQUES,LA VILLE-DU-BOIS,True
91630001,48.5644,2.2922,91630,False,Rue de la gare,MAROLLES-EN-HUREPOIX,False
91630005,48.5622,2.2273,91630,False,RN 20,AVRAINVILLE,False
91630006,48.5620,2.2470,91630,False,RN 20,AVRAINVILLE,True
91630007,48.5620,2.2270,91630,False,RN 20 DIRECTION PARIS,AVRAINVILLE,False
91640001,48.6348,2.1476,91640,True,AUTOROUTE A 10,Briis-sous-Forges,False
91640002,48.6417,2.1569,91640,True,AUT A 10,JANVRY,False
91640003,48.6348,2.1476,91640,True,AUTOROUTE A10 - AIRE DE LIMOURS BRIIS SOUS FORGES,Briis-sous-Forges,False
91640004,48.6368,2.1475,91640,True,A10 AIRE DE LIMOURS JANVRY,JANVRY,False
91650001,48.5690,2.1630,91650,False,LE BUISSON RONDEAU,Breuillet,False
91660001,48.3130,2.0760,91660,False,Route d'Angerville,MéRéVILLE,True
91670001,48.3200,2.0030,91670,False,14 Rue du Pont Lafleur,ANGERVILLE,False
91700001,48.6470,2.3354,91700,False,70 Route de Corbeil,SAINTE-GENEVIèVE-DES-BOIS,False
91700002,48.6240,2.3696,91700,False, Aire de Fleury,FLEURY-MéROGIS,False
91700003,48.6390,2.3340,91700,False,139 Route de Corbeil,SAINTE-GENEVIèVE-DES-BOIS,True
91700005,48.6240,2.3700,91700,False,RN 104 ZI DES CIROLIERS,FLEURY MEROGIS,True
91700006,48.6422,2.3286,91700,False,70 ROUTE DE CORBEIL,Sainte-Geneviève-des-Bois,False
91710001,48.5397,2.3656,91710,False,"8, rue Berthollet",VERT-LE-PETIT,False
91720001,48.3927,2.3907,91720,False,41 Avenue du Général de Gaulle,Maisse,False
91760001,48.5026,2.3477,91760,False,Route de la Ferté-Alais,ITTEVILLE,False
91800005,48.6830,2.5340,91800,False,Centre Commercial Val d'Yerres 2,Boussy-Saint-Antoine,True
91800006,48.6944,2.5055,91800,False,Boulevard Charles de Gaulle,Brunoy,False
91800007,48.6945,2.5094,91800,False, Boulevard Charles de Gaulle,BRUNOY,False
91800008,48.6980,2.5070,91800,False,RUE PHILISBOURG,BRUNOY,True
91800009,48.6950,2.5050,91800,False,5 BD CHARLES DE GAULLE,BRUNOY,True
91814001,48.5840,2.4440,91100,False,ROUTE DE VILLOISON,VILLABE,True
91940001,48.6781,2.1987,91940,False,Avenue d'Océanie,Les Ulis,False
91940003,48.6818,2.1444,91940,False,35 Route de Chartres,Gometz-le-Châtel,False
91940004,48.6781,2.1987,91940,False,Avenue d'Océanie,Les Ulis,False
91940006,48.6790,2.1745,91940,False, Avenue des Cévennes,LES ULIS,False
91940007,48.6760,2.1760,91940,False,Avenue des Cévennes,Les Ulis,False
91940008,48.6780,2.1990,91940,False,1 AV DE L OCEANIE ZAC COURTABOEU,LES ULIS,True
91940009,48.6780,2.1990,91940,False,4 AV DE L'OCEANIE - ZAC COURTAB,LES ULIS,True
91942001,48.6760,2.1710,91940,False,Centre Commercial Ulis 2,LES ULIS,True
91942002,48.6847,2.1965,91940,False,5 Avenue des Tropiques,LES ULIS,False
91960001,48.6411,2.2355,91960,False,"40, avenue Alfred Dubois",MARCOUSSIS,False
92000001,48.8880,2.1897,92000,False,77 Avenue Vladimir Illitch Lénine,NANTERRE,False
92000002,48.8818,2.2052,92000,False,141 Rue Paul Vaillant-Couturier,NANTERRE,False
92000005,48.8847,2.1941,92000,False,57 Avenue du Maréchal Joffre,Nanterre,False
92000008,48.8885,2.1936,92000,False,AVENUE VLADIMIR LENINE,NANTERRE,False
92000009,48.9186,2.2232,92000,False,47 BLD DU HAVRE,NANTERRE,False
92000011,48.8824,2.2229,92000,False,36 Route des Fusillés de la Résistance 1940-1944,Nanterre,False
92000012,48.8806,2.2062,92000,False,182 Rue Paul Vaillant-Couturier,NANTERRE,False
92000015,48.8880,2.1880,92000,False,93 Avenue Vladimir Illitch Lénine,Nanterre,False
92000016,48.8833,2.2039,92000,False,141 RUE PAUL VAILLANT COUTURIER,NANTERRE,False
92000017,48.8885,2.1936,92000,False,84-90 AVENUE LENINE,NANTERRE,False
92000018,48.9190,2.2230,92000,False,47 BLD DU HAVRE,NANTERRE,False
92000019,48.8880,2.1897,92000,False,"77, AVENUE LENINE",NANTERRE,False
92000020,48.8833,2.2039,92000,False,141 RUE PV COUTURIER,NANTERRE,False
92000021,48.8806,2.2062,92000,False,182 RUE P.VAILLANT COUTURIER,NANTERRE,False
92000022,48.8858,2.2199,92000,False,265 AV GEORGES CLEMENCEAU,NANTERRE,False
92000024,48.8860,2.2220,92000,False,265 AV GEORGES CLEMENCEAU,NANTERRE,True
92000025,48.8816,2.2056,92000,False,141 rue paul vaillant couturier,nanterre,False
92100002,48.8358,2.2387,92100,False,29 Avenue André Morizet,BOULOGNE-BILLANCOURT,False
92100004,48.8254,2.2482,92100,False,263 Boulevard Jean Jaurès,Boulogne-Billancourt,False
92100005,48.8468,2.2392,92100,False,19/21 AV. J.B. CLEMENT,Boulogne-Billancourt,False
92100006,48.8405,2.2299,92100,False,135 Route de la Reine,Boulogne-Billancourt,False
92100009,48.8403,2.2310,92100,False,108 Avenue André Morizet,BOULOGNE-BILLANCOURT,False
92100010,48.8347,2.2419,92100,False,16 Avenue André Morizet,Boulogne-Billancourt,False
92100013,48.8391,2.2481,92100,False,26 Route de la Reine,BOULOGNE-BILLANCOURT,False
92100014,48.8358,2.2390,92100,False,29-31 AVENUE MORIZET,BOULOGNE BILLANCOURT,False
92100015,48.8400,2.2310,92100,False,108 AV.A MORIZET,BOULOGNE BILLANCOURT,False
92100016,48.8260,2.2480,92100,False,263 BOULEVARD JEAN JAURES,Boulogne-Billancourt,False
