id_pompe,type,debut,fin
55100005,T,2009-02-01T00:00:00,
57000014,T,2009-07-31T00:00:00,2023-02-02T00:00:00
57000014,T,2009-02-01T00:00:00,
57000014,D,2023-02-02T00:00:00,
57050003,D,2023-02-02T00:00:00,
57050003,T,2010-02-10T00:00:00,2023-02-02T00:00:00
57124001,D,2023-01-13T00:00:00,
57160006,T,2023-01-09T00:00:00,2023-01-12T15:20:19
57280004,D,2023-02-02T00:00:00,
57280004,T,2009-06-23T00:00:00,2023-02-02T00:00:00
57320001,T,2010-11-10T00:00:00,2023-02-02T00:00:00
57320001,D,2023-02-02T00:00:00,
57340001,T,2011-08-23T00:00:00,2023-02-09T00:00:00
57340001,D,2023-02-09T00:00:00,
57370005,T,2011-12-02T00:00:00,2023-02-02T00:00:00
57370005,D,2023-02-02T00:00:00,
57385001,D,2023-02-02T00:00:00,
57385001,T,2010-02-11T00:00:00,2023-02-02T00:00:00
57400004,D,2023-02-02T00:00:00,
57400004,T,2009-07-31T00:00:00,2023-02-02T00:00:00
57400009,D,2023-01-12T00:00:00,
57640001,D,2023-02-02T00:00:00,
57640001,T,2009-08-10T00:00:00,2023-02-02T00:00:00
57645001,T,2009-08-11T00:00:00,2023-02-02T00:00:00
57645001,D,2023-02-02T00:00:00,
57740005,D,2023-01-26T00:00:00,
59000009,D,2023-01-27T00:00:00,
59000018,T,2023-01-30T00:00:00,2023-01-30T22:00:56
59000018,D,2023-01-30T00:00:00,
59100005,T,2009-02-01T00:00:00,
59113008,D,2023-01-18T00:00:00,
59113010,D,2023-01-06T00:00:00,
59113011,D,2023-01-06T00:00:00,2023-01-17T14:15:32
59140002,T,2009-02-01T00:00:00,
59155003,T,2009-02-01T00:00:00,
59190008,D,2023-02-09T00:00:00,
59210006,D,2023-01-06T00:00:00,
59300009,T,2009-02-01T00:00:00,
59450004,T,2017-08-22T00:00:00,
59620004,T,2009-02-01T00:00:00,
60110005,D,2023-02-10T00:00:00,
60430001,T,2021-12-21T00:00:00,
62000003,T,2013-06-13T00:00:00,
62000008,T,2009-02-01T00:00:00,
62000014,T,2023-01-02T00:00:00,2023-01-20T15:22:55
62217002,T,2010-10-07T00:00:00,
62300001,T,2011-01-07T00:00:00,
62300003,T,2014-09-30T00:00:00,
62740003,T,2014-03-19T00:00:00,
62780001,D,2023-01-17T00:00:00,
62970001,T,2016-01-21T00:00:00,
63210004,T,2010-02-23T00:00:00,
63350001,T,2023-02-13T00:00:00,2023-02-15T08:30:01
63800002,T,2023-01-25T00:00:00,2023-02-09T10:18:58
67110005,T,2009-02-01T00:00:00,
67112002,T,2023-01-30T00:00:00,2023-02-03T06:45:00
67116001,T,2010-02-18T00:00:00,2023-02-16T10:01:29
67140001,T,2017-05-12T00:00:00,2023-02-16T10:07:40
67140001,D,2023-02-16T00:00:00,
67210003,T,2021-06-21T00:00:00,2023-02-16T10:06:58
67210003,D,2023-02-16T00:00:00,
67350003,D,2023-02-16T00:00:00,
67350003,T,2018-11-07T00:00:00,2023-02-16T10:06:02
67700006,T,2017-09-01T00:00:00,2023-02-16T10:05:00
67700006,D,2023-02-16T00:00:00,
67700009,T,2017-09-01T00:00:00,2023-02-10T00:00:00
68100007,T,2009-02-01T00:00:00,
68100008,T,2009-02-01T00:00:00,
68200001,D,2023-01-27T00:00:00,
68780001,D,2023-02-27T00:00:00,
68780001,T,2009-08-18T00:00:00,2023-02-27T00:00:00
69008004,T,2011-03-10T00:00:00,2023-02-15T00:00:00
69008004,D,2023-02-15T00:00:00,
69008008,T,2023-02-03T00:00:00,2023-02-28T06:08:56
69320006,D,2023-01-09T00:00:00,
69320007,D,2023-01-09T00:00:00,
69400002,D,2023-02-09T00:00:00,
69500009,T,2023-01-16T00:00:00,2023-01-30T13:28:43
69800021,D,2023-02-15T00:00:00,
69800022,D,2023-02-15T00:00:00,
71000005,D,2023-03-01T00:00:00,
71100027,D,2023-02-21T00:00:00,
71270002,D,2023-01-03T00:00:00,
71400014,T,2017-05-09T00:00:00,
72400008,T,2017-07-26T00:00:00,
73100013,D,2023-02-13T00:00:00,
74120002,T,2009-08-03T00:00:00,
75017020,D,2023-01-11T00:00:00,
76000012,T,2023-02-22T00:00:00,2023-06-01T00:00:00
76100003,T,2022-10-12T00:00:00,2023-01-12T11:06:03
77100024,D,2023-03-01T00:00:00,
77164001,D,2023-03-07T00:00:00,
77164001,T,2023-01-20T00:00:00,2023-01-20T15:06:14
77170009,T,2009-02-01T00:00:00,
77230008,D,2023-01-09T00:00:00,
77260002,D,2023-02-09T00:00:00,
77260006,D,2023-01-20T00:00:00,
77260007,D,2023-02-14T00:00:00,
77260008,D,2023-01-20T00:00:00,
77600005,D,2023-02-06T00:00:00,
78000022,D,2023-02-14T00:00:00,
78120007,T,2009-02-01T00:00:00,
78130008,T,2009-09-04T00:00:00,2023-02-02T00:00:00
78130008,D,2023-02-02T00:00:00,
78140008,T,2023-02-26T00:00:00,2023-03-05T00:00:00
78170001,D,2023-02-02T00:00:00,
78170001,T,2016-10-28T00:00:00,2023-02-02T00:00:00
78220001,T,2009-02-01T00:00:00,
78290003,T,2023-03-01T00:00:00,2023-03-30T00:00:00
